label,fusion_score,face_conf,voice_conf,gesture_conf
genuine,0.76295,0.759,0.658,0.89
genuine,0.7745,0.734,0.716,0.89
genuine,0.7972,0.749,0.723,0.94
genuine,0.7479,0.758,0.736,0.75
genuine,0.77355,0.748,0.725,0.86
genuine,0.80535,0.738,0.723,0.98
genuine,0.7658500000000001,0.762,0.749,0.79
genuine,0.7684,0.73,0.694,0.9
genuine,0.7798,0.743,0.705,0.91
genuine,0.7376,0.766,0.69,0.76
genuine,0.7706,0.718,0.678,0.94
genuine,0.7518,0.748,0.62,0.91
genuine,0.7916,0.742,0.714,0.94
genuine,0.7623500000000001,0.763,0.618,0.93
genuine,0.7423000000000001,0.74,0.558,0.96
genuine,0.7641,0.775,0.611,0.93
genuine,0.7217,0.75,0.532,0.91
genuine,0.5266,0.776,0.0,0.85
genuine,0.7887500000000001,0.768,0.697,0.92
genuine,0.7578500000000001,0.732,0.679,0.88
genuine,0.6866,0.703,0.513,0.87
genuine,0.7985500000000001,0.738,0.755,0.92
genuine,0.7403000000000001,0.74,0.578,0.93
genuine,0.7900499999999999,0.731,0.772,0.88
genuine,0.8009999999999999,0.756,0.744,0.92
genuine,0.7871000000000001,0.749,0.737,0.89
genuine,0.7622500000000001,0.735,0.68,0.89
genuine,0.74045,0.738,0.589,0.92
genuine,0.74795,0.748,0.669,0.84
genuine,0.7983500000000001,0.724,0.777,0.91
genuine,0.7536,0.75,0.606,0.93
genuine,0.5186000000000001,0.676,0.0,0.94
genuine,0.7782,0.746,0.706,0.9
genuine,0.7646999999999999,0.719,0.703,0.89
genuine,0.7847999999999999,0.745,0.743,0.88
genuine,0.74495,0.733,0.624,0.9
genuine,0.7488,0.711,0.657,0.9
genuine,0.78855,0.753,0.78,0.84
genuine,0.8018500000000002,0.758,0.753,0.91
genuine,0.72915,0.715,0.614,0.88
genuine,0.7883500000000001,0.74,0.741,0.9
genuine,0.7605,0.7,0.71,0.89
genuine,0.7986,0.768,0.768,0.87
genuine,0.7596,0.755,0.661,0.88
genuine,0.804,0.748,0.812,0.86
genuine,0.80335,0.743,0.798,0.88
genuine,0.7968000000000001,0.766,0.782,0.85
genuine,0.7908,0.719,0.769,0.9
genuine,0.7724,0.728,0.776,0.82
genuine,0.7709999999999999,0.737,0.763,0.82
genuine,0.774,0.763,0.677,0.9
genuine,0.78305,0.754,0.729,0.88
genuine,0.78805,0.761,0.762,0.85
genuine,0.7144999999999999,0.75,0.58,0.83
genuine,0.62625,0.731,0.484,0.67
genuine,0.7670000000000001,0.746,0.674,0.9
genuine,0.7561999999999999,0.741,0.691,0.85
genuine,0.76545,0.749,0.718,0.84
genuine,0.7799,0.766,0.708,0.88
genuine,0.7754000000000001,0.756,0.688,0.9
genuine,0.78895,0.723,0.734,0.93
genuine,0.763,0.74,0.72,0.84
genuine,0.7407,0.761,0.661,0.81
impostor,0.061599999999999995,0.176,0.0,0.0
impostor,0.049699999999999994,0.142,0.0,0.0
impostor,0.05109999999999999,0.146,0.0,0.0
impostor,0.0441,0.126,0.0,0.0
impostor,0.05004999999999999,0.143,0.0,0.0
impostor,0.0476,0.136,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.05109999999999999,0.146,0.0,0.0
impostor,0.0462,0.132,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.0455,0.13,0.0,0.0
impostor,0.0476,0.136,0.0,0.0
impostor,0.04725,0.135,0.0,0.0
impostor,0.0483,0.138,0.0,0.0
impostor,0.05354999999999999,0.153,0.0,0.0
impostor,0.05565,0.159,0.0,0.0
impostor,0.055299999999999995,0.158,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.0574,0.164,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.05495,0.157,0.0,0.0
impostor,0.05039999999999999,0.144,0.0,0.0
impostor,0.0567,0.162,0.0,0.0
impostor,0.05425,0.155,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.05495,0.157,0.0,0.0
impostor,0.055299999999999995,0.158,0.0,0.0
impostor,0.05565,0.159,0.0,0.0
impostor,0.0574,0.164,0.0,0.0
impostor,0.05845,0.167,0.0,0.0
impostor,0.0483,0.138,0.0,0.0
impostor,0.0483,0.138,0.0,0.0
impostor,0.053899999999999997,0.154,0.0,0.0
impostor,0.05354999999999999,0.153,0.0,0.0
impostor,0.055299999999999995,0.158,0.0,0.0
impostor,0.0581,0.166,0.0,0.0
impostor,0.05495,0.157,0.0,0.0
impostor,0.05705,0.163,0.0,0.0
impostor,0.05985,0.171,0.0,0.0
impostor,0.0567,0.162,0.0,0.0
impostor,0.05705,0.163,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.05495,0.157,0.0,0.0
impostor,0.05985,0.171,0.0,0.0
impostor,0.05565,0.159,0.0,0.0
impostor,0.0595,0.17,0.0,0.0
impostor,0.052149999999999995,0.149,0.0,0.0
impostor,0.0588,0.168,0.0,0.0
impostor,0.0595,0.17,0.0,0.0
impostor,0.05635,0.161,0.0,0.0
impostor,0.055299999999999995,0.158,0.0,0.0
impostor,0.0574,0.164,0.0,0.0
impostor,0.0532,0.152,0.0,0.0
impostor,0.0483,0.138,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.05004999999999999,0.143,0.0,0.0
impostor,0.061599999999999995,0.176,0.0,0.0
impostor,0.0896,0.256,0.0,0.0
impostor,0.0462,0.132,0.0,0.0
impostor,0.0476,0.136,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.052849999999999994,0.151,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.05179999999999999,0.148,0.0,0.0
impostor,0.050749999999999997,0.145,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.0679,0.194,0.0,0.0
impostor,0.04934999999999999,0.141,0.0,0.0
impostor,0.0532,0.152,0.0,0.0
impostor,0.0525,0.15,0.0,0.0
impostor,0.044449999999999996,0.127,0.0,0.0
impostor,0.049,0.14,0.0,0.0
impostor,0.04655,0.133,0.0,0.0
impostor,0.06265,0.179,0.0,0.0
impostor,0.045149999999999996,0.129,0.0,0.0
impostor,0.04585,0.131,0.0,0.0
impostor,0.05635,0.161,0.0,0.0
impostor,0.0952,0.272,0.0,0.0
impostor,0.04025,0.115,0.0,0.0
impostor,0.0462,0.132,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.061599999999999995,0.176,0.0,0.0
impostor,0.04655,0.133,0.0,0.0
impostor,0.0658,0.188,0.0,0.0
impostor,0.0679,0.194,0.0,0.0
impostor,0.0525,0.15,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.045149999999999996,0.129,0.0,0.0
impostor,0.04235,0.121,0.0,0.0
impostor,0.041299999999999996,0.118,0.0,0.0
impostor,0.04655,0.133,0.0,0.0
impostor,0.05354999999999999,0.153,0.0,0.0
impostor,0.043399999999999994,0.124,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.07279999999999999,0.208,0.0,0.0
impostor,0.0693,0.198,0.0,0.0
impostor,0.06265,0.179,0.0,0.0
impostor,0.06684999999999999,0.191,0.0,0.0
impostor,0.05565,0.159,0.0,0.0
impostor,0.04865,0.139,0.0,0.0
impostor,0.06475,0.185,0.0,0.0
impostor,0.05179999999999999,0.148,0.0,0.0
impostor,0.0322,0.092,0.0,0.0
impostor,0.0266,0.076,0.0,0.0
impostor,0.024849999999999997,0.071,0.0,0.0
impostor,0.02415,0.069,0.0,0.0
impostor,0.0245,0.07,0.0,0.0
impostor,0.02625,0.075,0.0,0.0
impostor,0.02205,0.063,0.0,0.0
impostor,0.02835,0.081,0.0,0.0
impostor,0.02625,0.075,0.0,0.0
impostor,0.0245,0.07,0.0,0.0
impostor,0.024849999999999997,0.071,0.0,0.0
impostor,0.0231,0.066,0.0,0.0
impostor,0.031149999999999997,0.089,0.0,0.0
impostor,0.0287,0.082,0.0,0.0
impostor,0.04795,0.137,0.0,0.0
impostor,0.025199999999999997,0.072,0.0,0.0
impostor,0.035699999999999996,0.102,0.0,0.0
impostor,0.0392,0.112,0.0,0.0
impostor,0.041999999999999996,0.12,0.0,0.0
impostor,0.033249999999999995,0.095,0.0,0.0
impostor,0.044449999999999996,0.127,0.0,0.0
impostor,0.021349999999999997,0.061,0.0,0.0
impostor,0.0315,0.09,0.0,0.0
impostor,0.025899999999999996,0.074,0.0,0.0
impostor,0.027299999999999998,0.078,0.0,0.0
impostor,0.01925,0.055,0.0,0.0
impostor,0.027999999999999997,0.08,0.0,0.0
impostor,0.027649999999999997,0.079,0.0,0.0
impostor,0.027649999999999997,0.079,0.0,0.0
impostor,0.025899999999999996,0.074,0.0,0.0
impostor,0.025899999999999996,0.074,0.0,0.0
impostor,0.030799999999999998,0.088,0.0,0.0
impostor,0.027999999999999997,0.08,0.0,0.0
impostor,0.030799999999999998,0.088,0.0,0.0
impostor,0.0287,0.082,0.0,0.0
impostor,0.0266,0.076,0.0,0.0
impostor,0.027299999999999998,0.078,0.0,0.0
impostor,0.032549999999999996,0.093,0.0,0.0
impostor,0.0224,0.064,0.0,0.0
impostor,0.01925,0.055,0.0,0.0
impostor,0.033249999999999995,0.095,0.0,0.0
impostor,0.02975,0.085,0.0,0.0
impostor,0.030099999999999995,0.086,0.0,0.0
impostor,0.030799999999999998,0.088,0.0,0.0
impostor,0.0266,0.076,0.0,0.0
impostor,0.031149999999999997,0.089,0.0,0.0
impostor,0.03745,0.107,0.0,0.0
impostor,0.027649999999999997,0.079,0.0,0.0
impostor,0.031149999999999997,0.089,0.0,0.0
impostor,0.0343,0.098,0.0,0.0
impostor,0.0294,0.084,0.0,0.0
impostor,0.0336,0.096,0.0,0.0
impostor,0.02625,0.075,0.0,0.0
impostor,0.0266,0.076,0.0,0.0
impostor,0.02625,0.075,0.0,0.0
impostor,0.04164999999999999,0.119,0.0,0.0
impostor,0.0385,0.11,0.0,0.0
impostor,0.0315,0.09,0.0,0.0
impostor,0.03535,0.101,0.0,0.0
impostor,0.031849999999999996,0.091,0.0,0.0
impostor,0.0266,0.076,0.0,0.0
impostor,0.030799999999999998,0.088,0.0,0.0
impostor,0.030449999999999994,0.087,0.0,0.0
impostor,0.030099999999999995,0.086,0.0,0.0
impostor,0.0336,0.096,0.0,0.0
impostor,0.0238,0.068,0.0,0.0
impostor,0.02625,0.075,0.0,0.0
impostor,0.0287,0.082,0.0,0.0
impostor,0.026949999999999998,0.077,0.0,0.0
impostor,0.0322,0.092,0.0,0.0
impostor,0.037099999999999994,0.106,0.0,0.0
impostor,0.0462,0.132,0.0,0.0
impostor,0.0378,0.108,0.0,0.0
impostor,0.035699999999999996,0.102,0.0,0.0
impostor,0.03605,0.103,0.0,0.0
impostor,0.05039999999999999,0.144,0.0,0.0
impostor,0.03465,0.099,0.0,0.0
impostor,0.06265,0.179,0.0,0.0
impostor,0.06965,0.199,0.0,0.0
impostor,0.0707,0.202,0.0,0.0
impostor,0.0735,0.21,0.0,0.0
impostor,0.07105,0.203,0.0,0.0
impostor,0.06545,0.187,0.0,0.0
impostor,0.07175,0.205,0.0,0.0
impostor,0.07525,0.215,0.0,0.0
impostor,0.07944999999999999,0.227,0.0,0.0
