face_conf_raw,voice_conf_raw,gesture_conf_raw,fusion_new,ground_truth
0.719,0.471,0.84,0.66245,genuine
0.759,0.658,0.89,0.7564000000000001,genuine
0.734,0.716,0.89,0.7667,genuine
0.749,0.723,0.94,0.7876500000000001,genuine
0.758,0.736,0.75,0.7483,genuine
0.748,0.725,0.86,0.76795,genuine
0.738,0.723,0.98,0.79325,genuine
0.762,0.749,0.79,0.7644500000000001,genuine
0.73,0.694,0.9,0.7598999999999999,genuine
0.743,0.705,0.91,0.77145,genuine
0.766,0.69,0.76,0.7379,genuine
0.718,0.678,0.94,0.7595,genuine
0.748,0.62,0.91,0.7437,genuine
0.742,0.714,0.94,0.7817,genuine
0.763,0.618,0.93,0.7540000000000001,genuine
0.74,0.558,0.96,0.7313,genuine
0.775,0.611,0.93,0.7563500000000001,genuine
0.75,0.532,0.91,0.7137000000000001,genuine
0.776,0.021,0.85,0.53025,genuine
0.768,0.697,0.92,0.78115,genuine
0.732,0.679,0.88,0.75045,genuine
0.703,0.513,0.87,0.67825,genuine
0.738,0.755,0.92,0.78945,genuine
0.74,0.578,0.93,0.7308,genuine
0.731,0.772,0.88,0.7826,genuine
0.756,0.744,0.92,0.7928,genuine
0.749,0.737,0.89,0.78005,genuine
0.735,0.68,0.89,0.7545000000000001,genuine
0.738,0.589,0.92,0.73135,genuine
0.748,0.669,0.84,0.74335,genuine
0.724,0.777,0.91,0.78905,genuine
0.75,0.606,0.93,0.7446,genuine
0.676,0.379,0.94,0.63805,genuine
0.746,0.706,0.9,0.7705,genuine
0.719,0.703,0.89,0.75615,genuine
0.745,0.743,0.88,0.7780499999999999,genuine
0.733,0.624,0.9,0.7366,genuine
0.711,0.657,0.9,0.73935,genuine
0.753,0.78,0.84,0.7842,genuine
0.758,0.753,0.91,0.7942500000000001,genuine
0.715,0.614,0.88,0.7208999999999999,genuine
0.74,0.741,0.9,0.78035,genuine
0.7,0.71,0.89,0.751,genuine
0.768,0.768,0.87,0.7935000000000001,genuine
0.755,0.661,0.88,0.75335,genuine
0.748,0.812,0.86,0.7984,genuine
0.743,0.798,0.88,0.7965,genuine
0.766,0.782,0.85,0.7926000000000001,genuine
0.719,0.769,0.9,0.7817500000000001,genuine
0.728,0.776,0.82,0.7677999999999999,genuine
0.737,0.763,0.82,0.7668499999999999,genuine
0.763,0.677,0.9,0.76715,genuine
0.754,0.729,0.88,0.77675,genuine
0.761,0.762,0.85,0.7836,genuine
0.75,0.58,0.83,0.7105,genuine
0.731,0.484,0.67,0.6293,genuine
0.746,0.674,0.9,0.7593,genuine
0.741,0.691,0.85,0.7507499999999999,genuine
0.749,0.718,0.84,0.7608999999999999,genuine
0.766,0.708,0.88,0.7742,genuine
0.756,0.688,0.9,0.7681999999999999,genuine
0.723,0.734,0.93,0.7786000000000001,genuine
0.74,0.72,0.84,0.758,genuine
0.761,0.661,0.81,0.73825,genuine
0.176,0.356,0.75,0.3825,impostor
0.142,0.337,0.0,0.17475,impostor
0.146,0.304,0.82,0.3698,impostor
0.126,0.249,0.0,0.13755,impostor
0.143,0.353,0.82,0.3857499999999999,impostor
0.136,0.33,0.9,0.39490000000000003,impostor
0.139,0.324,0.91,0.3965,impostor
0.146,0.357,0.89,0.40585,impostor
0.132,0.326,0.82,0.3719,impostor
0.137,0.299,0.84,0.36945,impostor
0.13,0.325,0.92,0.39575000000000005,impostor
0.136,0.315,0.89,0.38715,impostor
0.135,0.373,0.92,0.41455,impostor
0.138,0.302,0.93,0.39339999999999997,impostor
